Actual_Energy,Predicted_Energy,Confidence,CBIS_Decision,CBIS_Energy_J
5082.3,5093.9204,0.9977,STAY_ACTIVE,5093.92041015625
4374.6,4379.525,0.9989,SCALE_DOWN,3000.0
13020.9,12912.091,0.9916,STAY_ACTIVE,12912.0908203125
4615.5,4613.4033,0.9995,SCALE_DOWN,3000.0
3619.8,3612.1482,0.9979,SCALE_DOWN,3000.0
15406.499999999998,15585.903,0.9884,STAY_ACTIVE,15585.9033203125
9293.7,9262.379,0.9966,STAY_ACTIVE,9262.37890625
17765.4,17672.635,0.9948,STAY_ACTIVE,17672.634765625
4881.0,4892.3,0.9977,SCALE_DOWN,3000.0
4144.8,4139.9507,0.9988,SCALE_DOWN,3000.0
3369.9000000000005,3366.8357,0.9991,SCALE_DOWN,3000.0
3557.1000000000004,3565.8252,0.9975,SCALE_DOWN,3000.0
3472.2000000000003,3468.3994,0.9989,SCALE_DOWN,3000.0
18907.500000000004,18925.377,0.9991,STAY_ACTIVE,18925.376953125
4239.6,4232.2207,0.9983,SCALE_DOWN,3000.0
4906.200000000001,4903.8823,0.9995,SCALE_DOWN,3000.0
3674.4,3673.5781,0.9998,SCALE_DOWN,3000.0
8755.5,8729.602,0.997,STAY_ACTIVE,8729.6015625
3867.0,3869.5618,0.9993,SCALE_DOWN,3000.0
4459.8,4464.847,0.9989,SCALE_DOWN,3000.0
4440.900000000001,4441.9634,0.9998,SCALE_DOWN,3000.0
6482.1,6510.786,0.9956,STAY_ACTIVE,6510.7861328125
3968.7,3968.8364,1.0,SCALE_DOWN,3000.0
11339.4,11404.028,0.9943,STAY_ACTIVE,11404.0283203125
4131.6,4133.2295,0.9996,SCALE_DOWN,3000.0
3642.3,3637.2156,0.9986,SCALE_DOWN,3000.0
5379.6,5379.4185,1.0,STAY_ACTIVE,5379.41845703125
12437.1,12467.125,0.9976,STAY_ACTIVE,12467.125
3969.6,3966.631,0.9993,SCALE_DOWN,3000.0
7178.700000000001,7184.2075,0.9992,STAY_ACTIVE,7184.20751953125
9183.0,9198.41,0.9983,STAY_ACTIVE,9198.41015625
4495.8,4494.415,0.9997,SCALE_DOWN,3000.0
7348.8,7326.872,0.997,STAY_ACTIVE,7326.8720703125
7302.000000000001,7303.81,0.9998,STAY_ACTIVE,7303.81005859375
3509.4,3517.6187,0.9977,SCALE_DOWN,3000.0
5637.3,5642.9854,0.999,STAY_ACTIVE,5642.9853515625
7872.000000000001,7863.84,0.999,STAY_ACTIVE,7863.83984375
7664.700000000001,7651.656,0.9983,STAY_ACTIVE,7651.65576171875
4894.5,4887.422,0.9986,SCALE_DOWN,3000.0
3826.8,3830.484,0.999,SCALE_DOWN,3000.0
4931.4,4933.5723,0.9996,SCALE_DOWN,3000.0
4470.6,4472.62,0.9995,SCALE_DOWN,3000.0
4243.200000000001,4251.6084,0.998,SCALE_DOWN,3000.0
3810.0,3810.901,0.9998,SCALE_DOWN,3000.0
3849.0,3848.924,1.0,SCALE_DOWN,3000.0
4348.2,4346.4746,0.9996,SCALE_DOWN,3000.0
5197.200000000001,5197.3286,1.0,STAY_ACTIVE,5197.32861328125
3352.2000000000003,3352.2075,1.0,SCALE_DOWN,3000.0
3803.400000000001,3802.855,0.9999,SCALE_DOWN,3000.0
3858.9,3860.6572,0.9995,SCALE_DOWN,3000.0
8418.0,8417.319,0.9999,STAY_ACTIVE,8417.3193359375
4116.9,4108.199,0.9979,SCALE_DOWN,3000.0
10576.5,10504.069,0.9932,STAY_ACTIVE,10504.0693359375
5687.4,5663.314,0.9958,STAY_ACTIVE,5663.31396484375
20131.5,20165.621,0.9983,STAY_ACTIVE,20165.62109375
3670.5,3676.423,0.9984,SCALE_DOWN,3000.0
3746.1,3745.4836,0.9998,SCALE_DOWN,3000.0
14700.9,14819.82,0.9919,STAY_ACTIVE,14819.8203125
4554.0,4549.5786,0.999,SCALE_DOWN,3000.0
7159.799999999999,7203.7314,0.9939,STAY_ACTIVE,7203.7314453125
10918.2,10918.052,1.0,STAY_ACTIVE,10918.0517578125
5372.700000000001,5374.552,0.9997,STAY_ACTIVE,5374.5517578125
7113.0,7072.035,0.9942,STAY_ACTIVE,7072.03515625
3980.4,3980.9246,0.9999,SCALE_DOWN,3000.0
